Lattice Direction Pseudo, Atom Type, Atom Number, KE, Final Energy, Delta Energy
10L, ga, 34, 25, -1823.366820, 0.000985
10L, ga, 34, 33, -1823.366830, 0.000975
10L, ga, 34, 41, -1823.367452, 0.000353
10L, ga, 34, 49, -1816.501895, 6.865910
10L, ga, 34, 45, -1809.086182, 14.281623
10L, ga, 34, 43, -1823.366831, 0.000974
10L, ga, 34, 44, -1823.366423, 0.001382
10L, n, 35, 25, -1815.807347, 7.560458
10L, n, 35, 17, -1823.365545, 0.002260
10L, n, 35, 21, -1815.788392, 7.579413
10L, n, 35, 19, -1815.803693, 7.564112
10L, n, 35, 18, -1823.365453, 0.002352
11L, ga, 34, 25, -1823.366439, 0.001366
11L, ga, 34, 33, -1823.366173, 0.001632
11L, ga, 34, 41, -1823.366243, 0.001562
11L, ga, 34, 49, -1816.757966, 6.609839
11L, ga, 34, 45, -1823.366522, 0.001283
12L, ga, 34, 25, -1823.366723, 0.001082
12L, ga, 34, 33, -1823.366463, 0.001342
12L, ga, 34, 41, -1823.366938, 0.000867
12L, ga, 34, 49, -1823.366156, 0.001649
13L, ga, 34, 25, -1823.367201, 0.000604
13L, ga, 34, 33, -1823.365970, 0.001835
13L, ga, 34, 41, -1823.366322, 0.001483
13L, ga, 34, 49, -1823.366212, 0.001593
14L, ga, 34, 25, -1823.366686, 0.001119
14L, ga, 34, 33, -1823.365587, 0.002218
14L, ga, 34, 41, -1823.366754, 0.001051
14L, ga, 34, 49, -1823.365351, 0.002454
15L, ga, 34, 25, -1823.366610, 0.001195
15L, ga, 34, 33, -1823.366282, 0.001523
15L, ga, 34, 41, -1823.366751, 0.001054
15L, ga, 34, 49, -1823.366550, 0.001255
16L, ga, 34, 25, -1823.366747, 0.001058
16L, ga, 34, 33, -1823.366075, 0.001730
16L, ga, 34, 41, -1823.366192, 0.001613
16L, ga, 34, 49, -1812.378009, 10.989796
16L, ga, 34, 45, -1812.926463, 10.441342
16L, ga, 34, 43, -1823.366867, 0.000938
16L, ga, 34, 44, -1813.492626, 9.875179
17L, ga, 34, 25, -1823.366348, 0.001457
17L, ga, 34, 33, -1815.746732, 7.621073
17L, ga, 34, 29, -1809.574663, 13.793142
17L, ga, 34, 27, -1823.365922, 0.001883
17L, ga, 34, 28, -1809.574471, 13.793334
18L, ga, 34, 25, -1823.365976, 0.001829
18L, ga, 34, 33, -1823.366445, 0.001360
18L, ga, 34, 41, -1823.366023, 0.001782
18L, ga, 34, 49, -1817.679294, 5.688511
18L, ga, 34, 45, -1823.366860, 0.000945
19L, ga, 34, 25, -1823.365149, 0.002656
19L, ga, 34, 33, -1823.365317, 0.002488
19L, ga, 34, 41, -1823.366679, 0.001126
19L, ga, 34, 49, -1823.365226, 0.002579
1L, ga, 34, 25, -1823.366892, 0.000913
1L, ga, 34, 33, -1823.366856, 0.000949
1L, ga, 34, 41, -1811.869515, 11.498290
1L, ga, 34, 37, -1811.829686, 11.538119
1L, ga, 34, 35, -1811.868307, 11.499498
1L, ga, 34, 34, -1811.867811, 11.499994
