,0,1,2
10L,0,1,0
11L,0,2,1
12L,0,4,1
13L,0,5,2
14L,1,-1,1
15L,1,1,1
16L,1,2,-5
17L,1,2,0
18L,1,7,0
19L,2,-2,1
1L,-1,4,1
20L,2,0,-5
21L,2,1,0
22L,2,4,-5
23L,4,-3,0
24L,4,-5,4
25L,4,1,3
26L,4,3,1
27L,5,2,1
28L,5,3,0
29L,7,0,3
2L,-1,7,3
30L,7,4,5
31L,8,4,3
32S,90.,0.,
33S,75.,22.5,
34S,90.,22.5,
35S,105.,22.5,
36S,60.,45.,
37S,75.,45.,
38S,90.,45.,
39S,105.,45.,
3L,-1,8,4
40S,120.,45.,
41S,45.,67.5,
42S,60.,67.5,
43S,75.,67.5,
44S,90.,67.5,
45S,105.,67.5,
46S,120.,67.5,
47S,135.,67.5,
48S,30.,90.,
49S,45.,90.,
4L,-2,-1,0
50S,60.,90.,
51S,75.,90.,
52S,90.,90.,
53S,105.,90.,
54S,120.,90.,
55S,135.,90.,
56S,150.,90.,
57S,45.,112.5,
58S,60.,112.5,
59S,75.,112.5,
5L,-4,11,0
60S,90.,112.5,
61S,105.,112.5,
62S,120.,112.5,
63S,135.,112.5,
64S,60.,135.,
65S,75.,135.,
66S,90.,135.,
67S,105.,135.,
68S,120.,135.,
69S,75.,157.5,
6L,-4,4,3
70S,90.,157.5,
71S,105.,157.5,
72S,90.,180.,
73L,1,1,0
74L,-1,-1,0
75L,-1,1,0
76S,30.0,105.0,
77S,90.0,60.0,
79S,82.5,52.5,
7L,0,0,-1
80S,82.5,60.0,
81S,82.5,67.5,
82S,82.5,45.0,
8L,0,0,1
9L,0,1,-5
78S,90.0,97.5,
