########################################
Spherical directions for multi_tde.py calculations
r, p, t
########################################
################################################################################
1.0, 90.0, 0.0
1.0, 75.0, 22.5
1.0, 90.0, 22.5
1.0, 105.0, 22.5
1.0, 60.0, 45.0
1.0, 75.0, 45.0
1.0, 90.0, 45.0
1.0, 105.0, 45.0
1.0, 120.0, 45.0
1.0, 45.0, 67.5
1.0, 60.0, 67.5
1.0, 75.0, 67.5
1.0, 90.0, 67.5
1.0, 105.0, 67.5
1.0, 120.0, 67.5
1.0, 135.0, 67.5
1.0, 30.0, 90.0
1.0, 45.0, 90.0
1.0, 60.0, 90.0
1.0, 75.0, 90.0
1.0, 90.0, 90.0
1.0, 105.0, 90.0
1.0, 120.0, 90.0
1.0, 135.0, 90.0
1.0, 150.0, 90.0
1.0, 45.0, 112.5
1.0, 60.0, 112.5
1.0, 75.0, 112.5
1.0, 90.0, 112.5
1.0, 105.0, 112.5
1.0, 120.0, 112.5
1.0, 135.0, 112.5
1.0, 60.0, 135.0
1.0, 75.0, 135.0
1.0, 90.0, 135.0
1.0, 105.0, 135.0
1.0, 120.0, 135.0
1.0, 75.0, 157.5
1.0, 90.0, 157.5
1.0, 105.0, 157.5
1.0, 90.0, 180.0
