,0,1
100S,135.0,37.5
101S,142.5,37.5
102S,150.0,37.5
103S,30.0,45.0
104S,37.5,45.0
105S,45.0,45.0
106S,52.5,45.0
107S,60.0,45.0
108S,67.5,45.0
109S,75.0,45.0
10S,97.5,0.0
110S,82.5,45.0
111S,90.0,45.0
112S,97.5,45.0
113S,105.0,45.0
114S,112.5,45.0
115S,120.0,45.0
116S,127.5,45.0
117S,135.0,45.0
118S,142.5,45.0
119S,150.0,45.0
11S,105.0,0.0
120S,30.0,52.5
121S,37.5,52.5
122S,45.0,52.5
123S,52.5,52.5
124S,60.0,52.5
125S,67.5,52.5
126S,75.0,52.5
127S,82.5,52.5
128S,90.0,52.5
129S,97.5,52.5
12S,112.5,0.0
130S,105.0,52.5
131S,112.5,52.5
132S,120.0,52.5
133S,127.5,52.5
134S,135.0,52.5
135S,142.5,52.5
136S,150.0,52.5
137S,30.0,60.0
138S,37.5,60.0
139S,45.0,60.0
13S,120.0,0.0
140S,52.5,60.0
141S,60.0,60.0
142S,67.5,60.0
143S,75.0,60.0
144S,82.5,60.0
145S,90.0,60.0
146S,97.5,60.0
147S,105.0,60.0
148S,112.5,60.0
149S,120.0,60.0
14S,127.5,0.0
150S,127.5,60.0
151S,135.0,60.0
152S,142.5,60.0
153S,150.0,60.0
154S,30.0,67.5
155S,37.5,67.5
156S,45.0,67.5
157S,52.5,67.5
158S,60.0,67.5
159S,67.5,67.5
15S,135.0,0.0
160S,75.0,67.5
161S,82.5,67.5
162S,90.0,67.5
163S,97.5,67.5
164S,105.0,67.5
165S,112.5,67.5
166S,120.0,67.5
167S,127.5,67.5
168S,135.0,67.5
169S,142.5,67.5
16S,142.5,0.0
170S,150.0,67.5
171S,30.0,75.0
172S,37.5,75.0
173S,45.0,75.0
174S,52.5,75.0
175S,60.0,75.0
176S,67.5,75.0
177S,75.0,75.0
178S,82.5,75.0
179S,90.0,75.0
17S,150.0,0.0
180S,97.5,75.0
181S,105.0,75.0
182S,112.5,75.0
183S,120.0,75.0
184S,127.5,75.0
185S,135.0,75.0
186S,142.5,75.0
187S,150.0,75.0
188S,30.0,82.5
189S,37.5,82.5
18S,30.0,7.5
190S,45.0,82.5
191S,52.5,82.5
192S,60.0,82.5
193S,67.5,82.5
194S,75.0,82.5
195S,82.5,82.5
196S,90.0,82.5
197S,97.5,82.5
198S,105.0,82.5
199S,112.5,82.5
19S,37.5,7.5
1S,30.0,0.0
200S,120.0,82.5
201S,127.5,82.5
202S,135.0,82.5
203S,142.5,82.5
204S,150.0,82.5
205S,30.0,90.0
206S,37.5,90.0
207S,45.0,90.0
208S,52.5,90.0
209S,60.0,90.0
20S,45.0,7.5
210S,67.5,90.0
211S,75.0,90.0
212S,82.5,90.0
213S,90.0,90.0
214S,97.5,90.0
215S,105.0,90.0
216S,112.5,90.0
217S,120.0,90.0
218S,127.5,90.0
219S,135.0,90.0
21S,52.5,7.5
220S,142.5,90.0
221S,150.0,90.0
222S,30.0,97.5
223S,37.5,97.5
224S,45.0,97.5
225S,52.5,97.5
226S,60.0,97.5
227S,67.5,97.5
228S,75.0,97.5
229S,82.5,97.5
22S,60.0,7.5
230S,90.0,97.5
231S,97.5,97.5
232S,105.0,97.5
233S,112.5,97.5
234S,120.0,97.5
235S,127.5,97.5
236S,135.0,97.5
237S,142.5,97.5
238S,150.0,97.5
239S,30.0,105.0
23S,67.5,7.5
240S,37.5,105.0
241S,45.0,105.0
242S,52.5,105.0
243S,60.0,105.0
244S,67.5,105.0
245S,75.0,105.0
246S,82.5,105.0
247S,90.0,105.0
248S,97.5,105.0
249S,105.0,105.0
24S,75.0,7.5
250S,112.5,105.0
251S,120.0,105.0
252S,127.5,105.0
253S,135.0,105.0
254S,142.5,105.0
255S,150.0,105.0
256S,30.0,112.5
257S,37.5,112.5
258S,45.0,112.5
259S,52.5,112.5
25S,82.5,7.5
260S,60.0,112.5
261S,67.5,112.5
262S,75.0,112.5
263S,82.5,112.5
264S,90.0,112.5
265S,97.5,112.5
266S,105.0,112.5
267S,112.5,112.5
268S,120.0,112.5
269S,127.5,112.5
26S,90.0,7.5
270S,135.0,112.5
271S,142.5,112.5
272S,150.0,112.5
273S,30.0,120.0
274S,37.5,120.0
275S,45.0,120.0
276S,52.5,120.0
277S,60.0,120.0
278S,67.5,120.0
279S,75.0,120.0
27S,97.5,7.5
280S,82.5,120.0
281S,90.0,120.0
282S,97.5,120.0
283S,105.0,120.0
284S,112.5,120.0
285S,120.0,120.0
286S,127.5,120.0
287S,135.0,120.0
288S,142.5,120.0
289S,150.0,120.0
28S,105.0,7.5
290S,30.0,127.5
291S,37.5,127.5
292S,45.0,127.5
293S,52.5,127.5
294S,60.0,127.5
295S,67.5,127.5
296S,75.0,127.5
297S,82.5,127.5
298S,90.0,127.5
299S,97.5,127.5
29S,112.5,7.5
2S,37.5,0.0
300S,105.0,127.5
301S,112.5,127.5
302S,120.0,127.5
303S,127.5,127.5
304S,135.0,127.5
305S,142.5,127.5
306S,150.0,127.5
307S,30.0,135.0
308S,37.5,135.0
309S,45.0,135.0
30S,120.0,7.5
310S,52.5,135.0
311S,60.0,135.0
312S,67.5,135.0
313S,75.0,135.0
314S,82.5,135.0
315S,90.0,135.0
316S,97.5,135.0
317S,105.0,135.0
318S,112.5,135.0
319S,120.0,135.0
31S,127.5,7.5
320S,127.5,135.0
321S,135.0,135.0
322S,142.5,135.0
323S,150.0,135.0
324S,30.0,142.5
325S,37.5,142.5
326S,45.0,142.5
327S,52.5,142.5
328S,60.0,142.5
329S,67.5,142.5
32S,135.0,7.5
330S,75.0,142.5
331S,82.5,142.5
332S,90.0,142.5
333S,97.5,142.5
334S,105.0,142.5
335S,112.5,142.5
336S,120.0,142.5
337S,127.5,142.5
338S,135.0,142.5
339S,142.5,142.5
33S,142.5,7.5
340S,150.0,142.5
341S,30.0,150.0
342S,37.5,150.0
343S,45.0,150.0
344S,52.5,150.0
345S,60.0,150.0
346S,67.5,150.0
347S,75.0,150.0
348S,82.5,150.0
349S,90.0,150.0
34S,150.0,7.5
350S,97.5,150.0
351S,105.0,150.0
352S,112.5,150.0
353S,120.0,150.0
354S,127.5,150.0
355S,135.0,150.0
356S,142.5,150.0
357S,150.0,150.0
358S,30.0,157.5
359S,37.5,157.5
35S,30.0,15.0
360S,45.0,157.5
361S,52.5,157.5
362S,60.0,157.5
363S,67.5,157.5
364S,75.0,157.5
365S,82.5,157.5
366S,90.0,157.5
367S,97.5,157.5
368S,105.0,157.5
369S,112.5,157.5
36S,37.5,15.0
370S,120.0,157.5
371S,127.5,157.5
372S,135.0,157.5
373S,142.5,157.5
374S,150.0,157.5
375S,30.0,165.0
376S,37.5,165.0
377S,45.0,165.0
378S,52.5,165.0
379S,60.0,165.0
37S,45.0,15.0
380S,67.5,165.0
381S,75.0,165.0
382S,82.5,165.0
383S,90.0,165.0
384S,97.5,165.0
385S,105.0,165.0
386S,112.5,165.0
387S,120.0,165.0
388S,127.5,165.0
389S,135.0,165.0
38S,52.5,15.0
390S,142.5,165.0
391S,150.0,165.0
392S,30.0,172.5
393S,37.5,172.5
394S,45.0,172.5
395S,52.5,172.5
396S,60.0,172.5
397S,67.5,172.5
398S,75.0,172.5
399S,82.5,172.5
39S,60.0,15.0
3S,45.0,0.0
400S,90.0,172.5
401S,97.5,172.5
402S,105.0,172.5
403S,112.5,172.5
404S,120.0,172.5
405S,127.5,172.5
406S,135.0,172.5
407S,142.5,172.5
408S,150.0,172.5
409S,30.0,180.0
40S,67.5,15.0
410S,37.5,180.0
411S,45.0,180.0
412S,52.5,180.0
413S,60.0,180.0
414S,67.5,180.0
415S,75.0,180.0
416S,82.5,180.0
417S,90.0,180.0
418S,97.5,180.0
419S,105.0,180.0
41S,75.0,15.0
420S,112.5,180.0
421S,120.0,180.0
422S,127.5,180.0
423S,135.0,180.0
424S,142.5,180.0
425S,150.0,180.0
