########################################
Spherical directions for multi_tde.py calculations
r, p, t
########################################
########################################
1.0, 30.0, 0.0
1.0, 37.5, 0.0
1.0, 45.0, 0.0
1.0, 52.5, 0.0
1.0, 60.0, 0.0
1.0, 67.5, 0.0
1.0, 75.0, 0.0
1.0, 82.5, 0.0
1.0, 90.0, 0.0
1.0, 97.5, 0.0
1.0, 105.0, 0.0
1.0, 112.5, 0.0
1.0, 120.0, 0.0
1.0, 127.5, 0.0
1.0, 135.0, 0.0
1.0, 142.5, 0.0
1.0, 150.0, 0.0
1.0, 30.0, 7.5
1.0, 37.5, 7.5
1.0, 45.0, 7.5
1.0, 52.5, 7.5
1.0, 60.0, 7.5
1.0, 67.5, 7.5
1.0, 75.0, 7.5
1.0, 82.5, 7.5
1.0, 90.0, 7.5
1.0, 97.5, 7.5
1.0, 105.0, 7.5
1.0, 112.5, 7.5
1.0, 120.0, 7.5
1.0, 127.5, 7.5
1.0, 135.0, 7.5
1.0, 142.5, 7.5
1.0, 150.0, 7.5
1.0, 30.0, 15.0
1.0, 37.5, 15.0
1.0, 45.0, 15.0
1.0, 52.5, 15.0
1.0, 60.0, 15.0
1.0, 67.5, 15.0
1.0, 75.0, 15.0
1.0, 82.5, 15.0
1.0, 90.0, 15.0
1.0, 97.5, 15.0
1.0, 105.0, 15.0
1.0, 112.5, 15.0
1.0, 120.0, 15.0
1.0, 127.5, 15.0
1.0, 135.0, 15.0
1.0, 142.5, 15.0
1.0, 150.0, 15.0
1.0, 30.0, 22.5
1.0, 37.5, 22.5
1.0, 45.0, 22.5
1.0, 52.5, 22.5
1.0, 60.0, 22.5
1.0, 67.5, 22.5
1.0, 75.0, 22.5
1.0, 82.5, 22.5
1.0, 90.0, 22.5
1.0, 97.5, 22.5
1.0, 105.0, 22.5
1.0, 112.5, 22.5
1.0, 120.0, 22.5
1.0, 127.5, 22.5
1.0, 135.0, 22.5
1.0, 142.5, 22.5
1.0, 150.0, 22.5
1.0, 30.0, 30.0
1.0, 37.5, 30.0
1.0, 45.0, 30.0
1.0, 52.5, 30.0
1.0, 60.0, 30.0
1.0, 67.5, 30.0
1.0, 75.0, 30.0
1.0, 82.5, 30.0
1.0, 90.0, 30.0
1.0, 97.5, 30.0
1.0, 105.0, 30.0
1.0, 112.5, 30.0
1.0, 120.0, 30.0
1.0, 127.5, 30.0
1.0, 135.0, 30.0
1.0, 142.5, 30.0
1.0, 150.0, 30.0
1.0, 30.0, 37.5
1.0, 37.5, 37.5
1.0, 45.0, 37.5
1.0, 52.5, 37.5
1.0, 60.0, 37.5
1.0, 67.5, 37.5
1.0, 75.0, 37.5
1.0, 82.5, 37.5
1.0, 90.0, 37.5
1.0, 97.5, 37.5
1.0, 105.0, 37.5
1.0, 112.5, 37.5
1.0, 120.0, 37.5
1.0, 127.5, 37.5
1.0, 135.0, 37.5
1.0, 142.5, 37.5
1.0, 150.0, 37.5
1.0, 30.0, 45.0
1.0, 37.5, 45.0
1.0, 45.0, 45.0
1.0, 52.5, 45.0
1.0, 60.0, 45.0
1.0, 67.5, 45.0
1.0, 75.0, 45.0
1.0, 82.5, 45.0
1.0, 90.0, 45.0
1.0, 97.5, 45.0
1.0, 105.0, 45.0
1.0, 112.5, 45.0
1.0, 120.0, 45.0
1.0, 127.5, 45.0
1.0, 135.0, 45.0
1.0, 142.5, 45.0
1.0, 150.0, 45.0
1.0, 30.0, 52.5
1.0, 37.5, 52.5
1.0, 45.0, 52.5
1.0, 52.5, 52.5
1.0, 60.0, 52.5
1.0, 67.5, 52.5
1.0, 75.0, 52.5
1.0, 82.5, 52.5
1.0, 90.0, 52.5
1.0, 97.5, 52.5
1.0, 105.0, 52.5
1.0, 112.5, 52.5
1.0, 120.0, 52.5
1.0, 127.5, 52.5
1.0, 135.0, 52.5
1.0, 142.5, 52.5
1.0, 150.0, 52.5
1.0, 30.0, 60.0
1.0, 37.5, 60.0
1.0, 45.0, 60.0
1.0, 52.5, 60.0
1.0, 60.0, 60.0
1.0, 67.5, 60.0
1.0, 75.0, 60.0
1.0, 82.5, 60.0
1.0, 90.0, 60.0
1.0, 97.5, 60.0
1.0, 105.0, 60.0
1.0, 112.5, 60.0
1.0, 120.0, 60.0
1.0, 127.5, 60.0
1.0, 135.0, 60.0
1.0, 142.5, 60.0
1.0, 150.0, 60.0
